class_id,meta_title,meta_description,intro_md,about_heading,about_md,subclass_heading,subclass_md,prescription_heading,prescription_md,safety_bullets_md,reviewer_name,reviewer_credentials,reviewer_profile_url,medically_reviewed_on,content_last_updated,canonical_override,noindex,content_status
nerve-pain-medicines,Nerve Pain Medicines - Buy Online at Best Price | PharmEasy,"Browse 38 nerve pain medicines on PharmEasy. Medicines used in the management of nerve pain. Compare packs, compositions and prices. 100% genuine medicines.","Medicines used in the management of nerve-related pain, including diabetic neuropathy and similar conditions.",About Nerve Pain Medicines,"Nerve pain is managed differently from ordinary pain, and the medicines used are often ones developed for other conditions. Doses are usually built up slowly, and benefit is assessed over weeks.

Ordinary painkillers often do little for nerve pain, which is why the medicines used here look unfamiliar. Judging them over days rather than weeks is the most common reason people stop too early.",,,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Doses are increased gradually and should not be stopped abruptly. Drowsiness and dizziness are common when starting.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
neurological-medicines,Neurological Medicines - Buy Online at Best Price | PharmEasy,"Browse 66 neurological medicines on PharmEasy. Medicines used for neurological conditions. Compare packs, compositions and prices. 100% genuine medicines.","Medicines used in the management of neurological conditions such as epilepsy, Parkinson's disease and related disorders.",About Neurological Medicines,"This class covers medicines used for conditions affecting the brain and nervous system. Dosing is often built up gradually, and the schedule is chosen for the individual rather than for the condition alone.

Consistency matters more in this class than in most. Missed or late doses can affect seizure control, and switching between brands of the same molecule should be discussed with the prescriber first.",Sub-classes you will find here,"Within this class you will find Anti-Vertigo, Anti-Epileptic, Anti-Parkinsonian, Multiple Sclerosis, Alzheimer Disease, Cerebro Protective and Myasthenia Gravis. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Do not miss doses or stop suddenly – this can be dangerous in epilepsy. Discuss any brand change with your doctor before switching.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
pain-relief-medicines,Pain Relief Medicines - Buy Online at Best Price | PharmEasy,"Browse 60 pain relief medicines on PharmEasy. Medicines used for pain and inflammation. Compare packs, compositions and prices. 100% genuine medicines.","Medicines used in the management of pain, fever and inflammation, from everyday preparations to those needing a prescription.",About Pain Relief Medicines,"Pain relief medicines are used in the management of pain, fever and inflammation. Groups differ in how they act and in what they are suitable for, and several are also present in combination cold and flu products.

The same active ingredient appears in many differently branded products, including combination cold remedies. Taking two of them together can exceed the safe daily amount without it being obvious.",Sub-classes you will find here,"Within this class you will find Analgesic/antipyretic, Anti-Inflammatory, Analgesic and Topical Analgesic. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Check whether the same active ingredient appears in another product you are taking. Take anti-inflammatory medicines with food unless told otherwise.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
prostate-care-medicines,Prostate Care Medicines - Buy Online at Best Price | PharmEasy,"Browse 12 prostate care medicines on PharmEasy. Medicines used for prostate-related concerns. Compare packs, compositions and prices. 100% genuine medicines.",Medicines used in the management of an enlarged prostate and related urinary symptoms.,About Prostate Care Medicines,"These medicines are used in the management of benign prostatic hyperplasia. Some relax muscle to ease urinary flow and act within weeks; others shrink the prostate over months.

The two groups work on very different timescales – weeks versus months. Knowing which one you are on avoids judging it too early.",,,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Dizziness on standing is common when starting some of these. Keep the reviews your doctor has scheduled.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
respiratory-medicines,Respiratory Medicines - Buy Online at Best Price | PharmEasy,"Browse 27 respiratory medicines on PharmEasy. Medicines used for breathing-related concerns. Compare packs, compositions and prices. 100% genuine medicines.","Medicines used in the management of asthma, COPD and related breathing conditions, including inhalers and tablets.",About Respiratory Medicines,"Respiratory medicines are used in the management of conditions affecting the airways. Some are relievers used when symptoms occur; others are preventers taken regularly whether or not symptoms are present.

The difference between a reliever and a preventer is the single most important thing to get right in this class. Needing your reliever more often is a signal to see your doctor, not to keep using it more.",Sub-classes you will find here,"Within this class you will find Xanthines, Inhaled corticosteroids, Combinations, Beta-2 agonists, Leukotriene antagonists and Anti-Asthmatic. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Do not stop a preventer inhaler because you feel well. If you need your reliever more often than usual, see your doctor.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
steroids,Steroids - Buy Online at Best Price | PharmEasy,"Browse 18 steroids on PharmEasy. Corticosteroid medicines used for inflammatory conditions. Compare packs, compositions and prices. 100% genuine medicines.","Corticosteroid medicines used in the management of inflammatory and immune conditions, usually for a defined course.",About Steroids,"Corticosteroids are used in the management of inflammation across many conditions. Courses are usually defined, and longer courses are reduced gradually rather than stopped, because the body adjusts to them.

After more than a short course, the body needs the dose reduced step by step. Stopping abruptly can cause a serious reaction, which is why the tapering schedule is not optional.",,,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Never stop a longer course abruptly – the dose usually needs to be reduced gradually. Carry a steroid card if you have been given one.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
vaccines,Vaccines - Buy Online at Best Price | PharmEasy,"Browse 18 vaccines on PharmEasy. Vaccines used for preventive protection. Compare packs, compositions and prices. 100% genuine medicines.",Vaccines used for preventive protection. Most require cold-chain storage and administration by a healthcare professional.,About Vaccines,"Vaccines are used to build protection against specific infections. Nearly all require unbroken cold-chain storage and must be administered by a trained healthcare professional.

A vaccine that has not been kept within its temperature range may not work, and there is no way to tell by looking at it. This is why cold-chain handling is treated as strictly as the dose itself.",,,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Vaccines must stay within their specified temperature range and be administered by a healthcare professional.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
vitamins-and-supplements,Vitamins and Supplements - Buy Online at Best Price | PharmEasy,"Browse 62 vitamins and supplements on PharmEasy. Everyday nutritional and supplement products. Compare packs, compositions and prices. 100% genuine medicines.","Vitamin, mineral and nutritional supplement products. Supplements support a diet – they do not replace one, and more is not better.",About Vitamins and Supplements,"This class covers vitamin, mineral and other nutritional supplements, including single vitamins, multivitamin preparations and calcium with vitamin D. Some are prescribed for a diagnosed deficiency; others are bought for general use.

Several vitamins accumulate in the body rather than being flushed out, so taking more than advised can cause harm. Doubling up across a multivitamin and a single supplement is an easy way to do this by accident.",Sub-classes you will find here,"Within this class you will find Multivitamin, Calcium and Vitamin D Supplementation, Nutritional Supplement, Electrolytes and Antioxidant. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Check whether you are already getting the same nutrient from another product, and stay within the amount advised.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
weight-management-medicines,Weight Management Medicines - Buy Online at Best Price | PharmEasy,"Browse 23 weight management medicines on PharmEasy. Medicines used in the management of weight. Compare packs, compositions and prices. 100% genuine medicines","Medicines used in the management of weight, prescribed alongside changes to diet and activity rather than instead of them.",About Weight Management Medicines,"Weight management medicines are prescribed as part of a wider plan that includes diet, activity and follow-up. They are not appropriate for cosmetic weight loss and are prescribed against defined clinical criteria.

These medicines are prescribed against clinical criteria, not on request, and they are intended to sit alongside diet and activity changes rather than replace them.",Sub-classes you will find here,Within this class you will find Lipase inhibitors and GLP-1 receptor agonists. Two medicines from different sub-classes are not alternatives to each other.,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","These are prescription medicines with defined criteria for use. Discuss suitability, side effects and monitoring with your doctor.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
womens-health-medicines,Women's Health Medicines - Buy Online at Best Price | PharmEasy,"Browse 26 women's health medicines on PharmEasy. Medicines used in women's health and hormonal care. Compare packs, compositions and prices. 100% genuine medi","Medicines used in the management of women's health conditions, including hormonal, menstrual and fertility-related care.",About Women's Health Medicines,"This class covers medicines used in hormonal and reproductive health – menstrual conditions, fertility care, hormone replacement and related areas. Timing within a cycle is often part of how they are prescribed.

For several medicines in this class the day of the cycle on which you take them is as important as the dose. A missed or mistimed dose is worth raising with the prescriber rather than guessing.",Sub-classes you will find here,"Within this class you will find Menstrual and Gynaecological Disorders, Female Hormone Pills, Polycystic Ovarian Disease, Female Infertility, Hormone Replacement Therapy, Premature Labour Prevention, Infertility and Hyperprolactinemia. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Tell your doctor if you are pregnant, planning a pregnancy or breastfeeding, and follow cycle timing exactly.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
sarthak-test-2,Sarthak Test Class | PharmEasy,Temporary test page used to confirm the Google Sheet is driving the static build.,"This page exists only to confirm that the Google Sheet is the source of truth. If you can read this, the sheet drove the build.",About this test,"Added as a row in the classes tab, with ten medicines attached in the medicines tab. Delete the row and the page disappears on the next run.",,,Prescription and dosage,Not a real medicine class. Do not publish.,**Do not self-medicate.** Use medicines only as advised by a qualified doctor.,,,,2026-07-27,2026-07-27,,TRUE,draft
